S.No,States,License Details,Valid Permanent License Number
1,Andhra Pradesh,Valid Permanent License Number,"15,034"
2,Arunachal Pradesh,Valid Permanent License Number,221
3,Assam,Valid Permanent License Number,"4,525"
4,Bihar,Valid Permanent License Number,"6,069"
5,Chhattisgarh,Valid Permanent License Number,"7,278"
6,Goa,Valid Permanent License Number,"2,764"
7,Gujarat,Valid Permanent License Number,"11,600"
8,Haryana,Valid Permanent License Number,"3,095"
9,Himachal Pradesh,Valid Permanent License Number,"1,566"
10,Jharkhand,Valid Permanent License Number,"1,262"
11,Karnataka,Valid Permanent License Number,"26,856"
12,Kerala,Valid Permanent License Number,"25,134"
13,Madhya Pradesh,Valid Permanent License Number,"33,405"
14,Maharashtra,Valid Permanent License Number,"26,345"
15,Manipur,Valid Permanent License Number,226
16,Meghalaya,Valid Permanent License Number,141
17,Mizoram,Valid Permanent License Number,52
18,Nagaland,Valid Permanent License Number,262
19,Orissa,Valid Permanent License Number,"6,966"
20,Punjab,Valid Permanent License Number,"3,970"
21,Rajasthan,Valid Permanent License Number,"17,852"
22,Sikkim,Valid Permanent License Number,103
23,Tamil Nadu,Valid Permanent License Number,"42,968"
24,Telangana,Valid Permanent License Number,"16,673"
25,Tripura,Valid Permanent License Number,448
26,Uttarakhand,Valid Permanent License Number,981
27,Uttar Pradesh,Valid Permanent License Number,"19,296"
28,West Bengal,Valid Permanent License Number,"6,806"
29,A & N Islands,Valid Permanent License Number,110
30,Chandigarh,Valid Permanent License Number,204
31,D & N Haveli,Valid Permanent License Number,113
32,Daman & Diu,Valid Permanent License Number,0
33,Delhi,Valid Permanent License Number,"3,093"
34,Jammu & Kashmir,Valid Permanent License Number,"3,829"
35,Ladakh,Valid Permanent License Number,174
36,Lakshadweep,Valid Permanent License Number,4
37,Puducherry,Valid Permanent License Number,836
1,Andhra Pradesh,Learner's Licence,716
2,Arunachal Pradesh,Learner's Licence,16
3,Assam,Learner's Licence,"1,367"
4,Bihar,Learner's Licence,654
5,Chhattisgarh,Learner's Licence,667
6,Goa,Learner's Licence,0
7,Gujarat,Learner's Licence,967
8,Haryana,Learner's Licence,109
9,Himachal Pradesh,Learner's Licence,33
10,Jharkhand,Learner's Licence,444
11,Karnataka,Learner's Licence,"1,340"
12,Kerala,Learner's Licence,211
13,Madhya Pradesh,Learner's Licence,"2,964"
14,Maharashtra,Learner's Licence,460
15,Manipur,Learner's Licence,64
16,Meghalaya,Learner's Licence,1
17,Mizoram,Learner's Licence,3
18,Nagaland,Learner's Licence,101
19,Orissa,Learner's Licence,871
20,Punjab,Learner's Licence,891
21,Rajasthan,Learner's Licence,439
22,Sikkim,Learner's Licence,34
23,Tamil Nadu,Learner's Licence,"1,526"
24,Telangana,Learner's Licence,336
25,Tripura,Learner's Licence,16
26,Uttarakhand,Learner's Licence,12
27,Uttar Pradesh,Learner's Licence,"4,318"
28,West Bengal,Learner's Licence,400
29,A & N Islands,Learner's Licence,0
30,Chandigarh,Learner's Licence,0
31,D & N Haveli,Learner's Licence,2
32,Daman & Diu,Learner's Licence,0
33,Delhi,Learner's Licence,106
34,Jammu & Kashmir,Learner's Licence,71
35,Ladakh,Learner's Licence,27
36,Lakshadweep,Learner's Licence,0
37,Puducherry,Learner's Licence,18
1,Andhra Pradesh,Without Licence,"3,028"
2,Arunachal Pradesh,Without Licence,19
3,Assam,Without Licence,353
4,Bihar,Without Licence,283
5,Chhattisgarh,Without Licence,"1,723"
6,Goa,Without Licence,51
7,Gujarat,Without Licence,982
8,Haryana,Without Licence,224
9,Himachal Pradesh,Without Licence,622
10,Jharkhand,Without Licence,652
11,Karnataka,Without Licence,"4,561"
12,Kerala,Without Licence,676
13,Madhya Pradesh,Without Licence,"5,529"
14,Maharashtra,Without Licence,906
15,Manipur,Without Licence,17
16,Meghalaya,Without Licence,16
17,Mizoram,Without Licence,11
18,Nagaland,Without Licence,273
19,Orissa,Without Licence,"1,175"
20,Punjab,Without Licence,558
21,Rajasthan,Without Licence,344
22,Sikkim,Without Licence,18
23,Tamil Nadu,Without Licence,"5,284"
24,Telangana,Without Licence,"1,317"
25,Tripura,Without Licence,12
26,Uttarakhand,Without Licence,20
27,Uttar Pradesh,Without Licence,"4,863"
28,West Bengal,Without Licence,"3,160"
29,A & N Islands,Without Licence,5
30,Chandigarh,Without Licence,4
31,D & N Haveli,Without Licence,10
32,Daman & Diu,Without Licence,0
33,Delhi,Without Licence,176
34,Jammu & Kashmir,Without Licence,110
35,Ladakh,Without Licence,19
36,Lakshadweep,Without Licence,0
37,Puducherry,Without Licence,181
1,Andhra Pradesh,Others     ( Not known),"2,778"
2,Arunachal Pradesh,Others     ( Not known),27
3,Assam,Others     ( Not known),"1,166"
4,Bihar,Others     ( Not known),"2,547"
5,Chhattisgarh,Others     ( Not known),"2,707"
6,Goa,Others     ( Not known),34
7,Gujarat,Others     ( Not known),"1,637"
8,Haryana,Others     ( Not known),"6,505"
9,Himachal Pradesh,Others     ( Not known),183
10,Jharkhand,Others     ( Not known),"2,370"
11,Karnataka,Others     ( Not known),"1,890"
12,Kerala,Others     ( Not known),"7,275"
13,Madhya Pradesh,Others     ( Not known),"6,979"
14,Maharashtra,Others     ( Not known),"1,766"
15,Manipur,Others     ( Not known),59
16,Meghalaya,Others     ( Not known),87
17,Mizoram,Others     ( Not known),3
18,Nagaland,Others     ( Not known),110
19,Orissa,Others     ( Not known),"1,971"
20,Punjab,Others     ( Not known),452
21,Rajasthan,Others     ( Not known),"2,316"
22,Sikkim,Others     ( Not known),0
23,Tamil Nadu,Others     ( Not known),"5,904"
24,Telangana,Others     ( Not known),"2,989"
25,Tripura,Others     ( Not known),3
26,Uttarakhand,Others     ( Not known),392
27,Uttar Pradesh,Others     ( Not known),"9,252"
28,West Bengal,Others     ( Not known),"1,571"
29,A & N Islands,Others     ( Not known),0
30,Chandigarh,Others     ( Not known),0
31,D & N Haveli,Others     ( Not known),15
32,Daman & Diu,Others     ( Not known),0
33,Delhi,Others     ( Not known),"1,345"
34,Jammu & Kashmir,Others     ( Not known),"1,442"
35,Ladakh,Others     ( Not known),16
36,Lakshadweep,Others     ( Not known),0
37,Puducherry,Others     ( Not known),14
